benchmark,workers,execution time (s),padding,read percentage,writes,reads,write throughput (ops/s),read throughput (ops/s),abort rate,avg adjust interval (ms),avg balance interval (ms),avg phase interval (ms)
mrv-flex-vector.balance-none.abort-default,8,60,100000,90,230352,2082268,3839.2,34704.5,0.23456,0.003755,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,90,337555,3030384,5625.92,50506.4,0.248238,0.001991,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,95,220409,4183716,3673.48,69728.6,0.150533,0.001433,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,95,196571,3852465,3276.18,64207.8,0.151921,0.001988,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,95,216299,4118019,3604.98,68633.6,0.148935,0.000804,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,95,187967,3663543,3132.78,61059.1,0.154598,0.002317,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,95,202629,3837382,3377.15,63956.4,0.153773,0.001279,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,100,0,5818903,0,96981.7,0,0.001057,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,100,0,5807336,0,96788.9,0,0.00127,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,100,0,5846897,0,97448.3,0,0.000968,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,100,0,5862513,0,97708.6,0,0.001023,0,0
mrv-flex-vector.balance-none.abort-default,8,60,100000,100,0,5829668,0,97161.1,0,0.000992,0,0
pr-array,8,60,100000,0,2867590,0,47793.2,0,0.108653,0,0,0.087654
pr-array,8,60,100000,0,3025123,0,50418.7,0,0.0763274,0,0,0.087049
pr-array,8,60,100000,0,3197862,0,53297.7,0,0.00609855,0,0,0.085447
pr-array,8,60,100000,0,3038732,0,50645.5,0,0.0642538,0,0,0.08354
pr-array,8,60,100000,0,3278633,0,54643.9,0,0.0598185,0,0,0.076998
pr-array,8,60,100000,5,709444,37427,11824.1,623.783,0.732961,0,0,0.025165
pr-array,8,60,100000,5,706058,37395,11767.6,623.25,0.733001,0,0,0.025612
pr-array,8,60,100000,5,698074,36638,11634.6,610.633,0.731864,0,0,0.025212
pr-array,8,60,100000,5,709231,37801,11820.5,630.017,0.735254,0,0,0.02384
pr-array,8,60,100000,5,688871,36718,11481.2,611.967,0.730868,0,0,0.030241
pr-array,8,60,100000,10,572731,63767,9545.52,1062.78,0.754674,0,0,0.028394
pr-array,8,60,100000,10,566737,63692,9445.62,1061.53,0.755387,0,0,0.028747
pr-array,8,60,100000,10,576471,64857,9607.85,1080.95,0.756526,0,0,0.027746
pr-array,8,60,100000,10,581340,65555,9689,1092.58,0.757097,0,0,0.02488
pr-array,8,60,100000,10,567704,65243,9461.73,1087.38,0.757929,0,0,0.02715
pr-array,8,60,100000,15,526894,98529,8781.57,1642.15,0.758679,0,0,0.025498
pr-array,8,60,100000,15,551119,97909,9185.32,1631.82,0.759532,0,0,0.02373
pr-array,8,60,100000,15,543411,97083,9056.85,1618.05,0.758423,0,0,0.024656
pr-array,8,60,100000,15,550274,96624,9171.23,1610.4,0.759158,0,0,0.02509
pr-array,8,60,100000,15,530632,97248,8843.87,1620.8,0.757984,0,0,0.02808
pr-array,8,60,100000,20,500206,133886,8336.77,2231.43,0.754631,0,0,0.024753
pr-array,8,60,100000,20,531631,133108,8860.52,2218.47,0.754772,0,0,0.021591
pr-array,8,60,100000,20,510310,126832,8505.17,2113.87,0.753058,0,0,0.025966
pr-array,8,60,100000,20,522913,130341,8715.22,2172.35,0.753597,0,0,0.025052
pr-array,8,60,100000,20,510993,130796,8516.55,2179.93,0.753798,0,0,0.026651
pr-array,8,60,100000,25,508688,170838,8478.13,2847.3,0.744785,0,0,0.02328
pr-array,8,60,100000,25,498345,176779,8305.75,2946.32,0.744929,0,0,0.024633
pr-array,8,60,100000,25,497080,178187,8284.67,2969.78,0.743919,0,0,0.023457
pr-array,8,60,100000,25,515159,174838,8585.98,2913.97,0.74559,0,0,0.022343
pr-array,8,60,100000,25,485397,173893,8089.95,2898.22,0.745341,0,0,0.024275
pr-array,8,60,100000,30,484826,208926,8080.43,3482.1,0.730164,0,0,0.025989
pr-array,8,60,100000,30,499284,213839,8321.4,3563.98,0.734735,0,0,0.022676
pr-array,8,60,100000,30,500761,216019,8346.02,3600.32,0.734179,0,0,0.021893
pr-array,8,60,100000,30,496432,213460,8273.87,3557.67,0.734456,0,0,0.02313
pr-array,8,60,100000,30,489743,222831,8162.38,3713.85,0.733876,0,0,0.022211
pr-array,8,60,100000,35,484463,263259,8074.38,4387.65,0.719794,0,0,0.022694
pr-array,8,60,100000,35,485638,262621,8093.97,4377.02,0.720776,0,0,0.021715
pr-array,8,60,100000,35,482790,259772,8046.5,4329.53,0.716207,0,0,0.023915
pr-array,8,60,100000,35,483763,270131,8062.72,4502.18,0.718632,0,0,0.022111
pr-array,8,60,100000,35,479651,271980,7994.18,4533,0.720262,0,0,0.022728
pr-array,8,60,100000,40,469785,316048,7829.75,5267.47,0.705267,0,0,0.023357
pr-array,8,60,100000,40,458713,314316,7645.22,5238.6,0.703432,0,0,0.026941
pr-array,8,60,100000,40,475713,324841,7928.55,5414.02,0.704364,0,0,0.022994
pr-array,8,60,100000,40,473763,322867,7896.05,5381.12,0.704226,0,0,0.021479
pr-array,8,60,100000,40,476711,324690,7945.18,5411.5,0.704831,0,0,0.021603
pr-array,8,60,100000,45,467798,381659,7796.63,6360.98,0.68817,0,0,0.022243
pr-array,8,60,100000,45,461649,395576,7694.15,6592.93,0.685059,0,0,0.022523
pr-array,8,60,100000,45,451815,394391,7530.25,6573.18,0.683583,0,0,0.025627
pr-array,8,60,100000,45,445785,365837,7429.75,6097.28,0.684174,0,0,0.027011
pr-array,8,60,100000,45,448078,379188,7467.97,6319.8,0.684716,0,0,0.026167
pr-array,8,60,100000,50,472230,473178,7870.5,7886.3,0.666215,0,0,0.021254
pr-array,8,60,100000,50,471624,504785,7860.4,8413.08,0.66263,0,0,0.021007
pr-array,8,60,100000,50,471553,488146,7859.22,8135.77,0.664567,0,0,0.02211
pr-array,8,60,100000,50,464408,466887,7740.13,7781.45,0.666226,0,0,0.023445
pr-array,8,60,100000,50,464925,467427,7748.75,7790.45,0.66503,0,0,0.024427
